Naslov,Cijena,URL_Proizvoda,URL_Slike,Stanje_Medija,Stanje_Omota,Tip_Artikla
"WILLIAMS, ANDY - WAY WE WERE",5.40,https://www.karmavinil.com/williams-andy-way-we-were,https://www.karmavinil.com/image_style/product_list_item/Documents/Products/63594/49223-vin.jpg.webp,LP,LP,Rabljeno
"WILLIAMS, ANDY - GREATEST HITS",5.40,https://www.karmavinil.com/williams-andy-greatest-hits,https://www.karmavinil.com/image_style/product_list_item/Documents/Products/63595/49224-vin.jpg.webp,LP,LP,Rabljeno
"WINWOOD, STEVE ex-TRAFFIC - REFUGEES OF THE HEART",4.80,https://www.karmavinil.com/winwood-steve-ex-traffic-refugees-of-the-heart-2,https://www.karmavinil.com/image_style/product_list_item/Documents/Products/26559/10657-vin.jpg.webp,LP,LP,Rabljeno
"KAMOKU, DUKE & HIS ISLANDERS - GOLDEN HAWAIIAN HITS",3.60,https://www.karmavinil.com/kamoku-duke-his-islanders-golden-hawaiian-hits,https://www.karmavinil.com/image_style/product_list_item/Documents/Products/63764/49290-vin.jpg.webp,LP,LP,Rabljeno
"BACKY, DON - L'AMORE DI DON BACKY",24.00,https://www.karmavinil.com/backy-don-l-amore-di-don-backy,https://www.karmavinil.com/image_style/product_list_item/Documents/Products/11100/511-vin.jpg.webp,LP,LP,Rabljeno
QUINTET - FUTURE TENSE,12.00,https://www.karmavinil.com/quintet-future-tense,https://www.karmavinil.com/image_style/product_list_item/Documents/Products/63771/49271-vin.jpg.webp,LP,LP,Rabljeno
"FRANCIS, CONNIE - CONNIE'S GREATEST HITS",6.00,https://www.karmavinil.com/francis-connie-connie-s-greatest-hits,https://www.karmavinil.com/image_style/product_list_item/Documents/Products/20370/3255-vin.jpg.webp,LP,LP,Rabljeno
"HUMPERDINCK, ENGELBERT - SWEETHEART",5.40,https://www.karmavinil.com/humperdinck-engelbert-sweetheart,https://www.karmavinil.com/image_style/product_list_item/Documents/Products/21104/4113-vin.jpg.webp,LP,LP,Rabljeno
TOKENS - IT'S A HAPPENING WORLD,9.00,https://www.karmavinil.com/tokens-it-s-a-happening-world,https://www.karmavinil.com/image_style/product_list_item/Documents/Products/50971/45141-vin.jpg.webp,LP,LP,Rabljeno
"ZAPPA, FRANK & THE MOTHERS OF INVENTION - FILLMORE EAST - JUNE 1971",25.00,https://www.karmavinil.com/zappa-frank-the-mothers-of-invention-fillmore-east-june-1971,https://www.karmavinil.com/image_style/product_list_item/Documents/Products/26763/10900-vin.jpg.webp,LP,LP,Rabljeno
"ZAPPA, FRANK & THE MOTHERS OF INVENTION - ROXY & ELSEWHERE",30.00,https://www.karmavinil.com/zappa-frank-the-mothers-of-invention-roxy-elsewhere-1,https://www.karmavinil.com/image_style/product_list_item/Documents/Products/26770/10907-vin.jpg.webp,2LP,2LP,Rabljeno
